,Number of Bags,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Total Cup Points,Quakers,Category Two Defects
0,1,8.58,8.5,8.42,8.58,8.25,8.42,8.58,89.33,0,3
1,1,8.5,8.5,7.92,8.0,7.92,8.25,8.5,87.58,0,0
2,19,8.33,8.42,8.08,8.17,7.92,8.17,8.33,87.42,0,2
3,1,8.08,8.17,8.17,8.25,8.17,8.08,8.25,87.17,0,0
4,2,8.33,8.33,8.08,8.25,7.92,7.92,8.25,87.08,2,2
5,5,8.33,8.33,8.25,7.83,7.83,8.17,8.25,87.0,0,2
6,1,8.33,8.17,8.08,8.0,7.83,8.25,8.25,86.92,0,0
7,1,8.25,8.25,8.17,8.0,7.92,8.08,8.08,86.75,0,1
8,1,8.08,8.08,8.25,8.08,7.92,8.0,8.25,86.67,0,0
9,320,8.08,8.17,8.08,8.17,8.0,8.0,8.0,86.5,0,0
10,10,8.08,8.25,8.0,8.08,7.92,7.92,8.0,86.25,1,1
11,5,8.08,8.0,8.0,7.75,8.25,8.17,8.0,86.25,0,1
12,1,8.08,8.0,8.08,8.08,8.0,8.0,8.0,86.25,0,0
13,40,7.67,8.17,8.0,8.33,8.0,8.0,8.0,86.17,3,2
14,70,8.08,8.0,8.08,7.92,8.08,8.0,8.0,86.17,0,0
15,1,8.17,8.08,8.0,7.92,8.0,7.92,8.0,86.08,0,0
16,8,8.17,8.08,7.92,8.17,7.75,7.92,8.08,86.08,2,2
17,5,8.0,8.17,8.0,7.92,7.92,7.92,8.17,86.08,0,0
18,8,8.08,8.17,7.75,7.92,7.83,8.0,8.17,85.92,0,1
19,200,8.17,8.0,7.92,7.92,8.17,7.75,7.92,85.83,0,0
20,8,8.0,7.92,8.08,7.92,7.75,8.0,8.08,85.75,0,0
21,1,8.08,8.0,7.92,7.92,8.0,7.83,7.92,85.67,0,0
22,2,7.67,8.0,7.83,8.0,8.08,8.0,8.08,85.67,0,5
23,6,8.08,8.0,7.83,8.17,7.75,7.83,8.0,85.67,0,2
24,4,7.83,8.0,7.92,8.0,8.0,7.92,7.92,85.58,0,0
25,25,7.83,8.08,7.83,7.92,8.0,7.83,8.0,85.5,0,3
26,1,7.92,7.92,8.0,7.92,7.83,7.92,8.0,85.5,0,2
27,1,8.17,8.08,7.92,8.0,7.58,7.83,7.92,85.5,0,0
28,1,8.0,8.0,8.0,7.92,7.75,7.92,7.92,85.5,0,0
29,80,8.0,7.92,8.0,7.83,7.67,8.0,8.0,85.42,0,0
30,3,8.0,8.0,7.83,7.83,7.75,7.92,8.08,85.42,0,0
31,3,7.92,8.0,7.83,7.92,7.83,7.83,8.0,85.33,0,0
32,4,8.08,8.17,7.67,7.83,7.67,7.92,8.0,85.33,0,0
33,320,7.67,7.83,7.83,8.0,8.0,8.0,8.0,85.33,2,3
34,320,8.0,8.08,8.0,8.0,7.67,7.75,7.83,85.33,3,4
35,320,7.92,7.75,7.83,8.17,8.0,7.75,7.83,85.25,1,1
36,1,8.0,7.92,7.83,7.92,7.83,7.83,7.92,85.25,0,0
37,20,8.25,8.08,7.83,7.75,7.67,7.75,7.92,85.25,0,0
38,300,8.17,7.75,7.83,7.58,7.92,8.0,8.0,85.25,0,1
39,20,7.75,7.92,7.75,8.0,7.83,7.92,8.0,85.17,0,0
40,1,8.0,7.92,7.83,7.92,7.75,7.75,7.92,85.08,0,0
41,1,8.0,8.08,7.67,7.75,7.92,7.83,7.83,85.08,0,0
42,1,8.0,7.92,7.67,8.0,7.75,7.83,7.92,85.08,0,5
43,320,8.0,7.92,7.75,7.75,7.75,7.92,7.92,85.0,0,1
44,1,7.92,8.0,7.92,8.0,7.58,7.75,7.83,85.0,0,0
45,6,8.17,8.08,7.83,7.67,7.67,7.75,7.83,85.0,0,0
46,600,7.67,8.08,7.67,8.0,7.92,7.83,7.83,85.0,1,1
47,632,7.67,8.0,7.75,7.92,8.0,7.83,7.83,85.0,0,4
48,275,7.83,7.92,7.75,8.0,7.75,7.75,7.92,84.92,3,1
49,1,7.92,7.92,7.83,7.83,7.75,7.83,7.83,84.92,0,2
50,1,8.0,8.0,7.75,7.75,7.67,7.75,7.92,84.83,0,0
51,320,7.83,7.92,7.75,7.83,7.83,7.83,7.83,84.83,3,2
52,3,8.0,8.0,7.83,7.83,7.58,7.83,7.75,84.83,0,0
53,620,7.92,7.75,7.75,7.92,7.83,7.83,7.83,84.83,0,0
54,1,7.83,7.83,7.67,7.67,7.83,8.0,8.0,84.83,0,0
55,1,7.67,7.92,7.92,7.83,7.75,7.83,7.83,84.75,0,0
56,5,7.83,7.92,7.75,7.92,7.67,7.83,7.83,84.75,1,5
57,200,7.83,7.83,7.75,7.92,7.83,7.75,7.83,84.75,1,5
58,1,7.92,8.08,7.67,7.92,7.67,7.75,7.75,84.75,0,0
59,600,7.67,8.0,7.67,7.83,7.92,7.67,7.92,84.67,0,1
60,66,7.83,8.0,7.67,7.83,7.75,7.75,7.83,84.67,3,2
61,260,7.58,7.83,7.5,7.67,7.83,7.67,8.58,84.67,1,2
62,1,7.83,7.83,7.75,7.75,7.75,7.75,7.92,84.58,0,0
63,16,8.17,7.83,7.67,7.83,7.67,7.67,7.75,84.58,0,0
64,74,7.92,7.75,7.67,7.67,7.83,7.75,8.0,84.58,0,2
65,1,8.08,7.83,7.67,7.67,7.67,7.75,7.92,84.58,0,2
66,1,7.83,8.0,7.67,7.75,7.67,7.75,7.92,84.58,0,0
67,3,8.0,7.83,7.75,7.67,7.58,7.83,7.92,84.58,0,0
68,1,7.75,7.83,7.67,7.83,7.75,7.75,7.92,84.5,1,0
69,1,7.75,7.92,7.83,7.75,7.75,7.75,7.75,84.5,0,0
70,340,7.83,7.92,7.75,7.75,7.75,7.75,7.75,84.5,0,3
71,584,7.92,7.83,7.75,7.92,7.58,7.67,7.83,84.5,0,9
72,1,8.08,7.92,7.75,7.83,7.5,7.58,7.83,84.5,0,0
73,1,7.83,8.0,7.5,7.75,7.75,7.75,7.83,84.42,0,1
74,600,7.67,7.83,7.75,7.75,7.83,7.75,7.75,84.33,1,5
75,10,7.92,7.83,7.75,7.92,7.5,7.67,7.75,84.33,0,7
76,320,7.83,7.75,7.58,7.92,8.0,7.5,7.75,84.33,5,4
77,20,7.83,7.83,7.83,7.83,7.67,7.67,7.67,84.33,0,4
78,275,7.75,7.75,7.75,7.75,7.83,7.67,7.83,84.33,0,1
79,1,7.67,7.67,7.83,7.83,7.67,7.75,7.83,84.25,1,1
80,55,7.58,7.92,7.67,7.75,7.83,7.75,7.75,84.25,0,1
81,5,7.92,7.92,7.58,7.75,7.58,7.67,7.83,84.25,0,0
82,345,7.75,7.75,7.58,7.83,7.75,7.75,7.75,84.17,0,2
83,275,7.58,7.92,7.58,7.83,7.75,7.67,7.75,84.08,3,2
84,1,7.83,7.92,7.83,7.58,7.58,7.67,7.67,84.08,0,2
85,1,7.92,7.75,7.67,7.75,7.75,8.0,7.92,84.08,0,0
86,430,7.67,7.83,7.67,7.83,7.75,7.67,7.67,84.08,1,2
87,200,7.67,7.92,7.67,7.75,7.67,7.58,7.75,84.0,2,2
88,16,7.75,7.75,7.75,7.67,7.75,7.67,7.67,84.0,0,0
89,200,7.58,7.67,7.75,7.75,7.75,7.75,7.75,84.0,0,3
90,300,8.0,7.75,7.5,7.67,7.67,7.67,7.75,84.0,1,1
91,320,7.75,7.58,7.58,7.92,7.67,7.75,7.75,84.0,0,2
92,275,7.67,7.83,7.58,7.92,7.67,7.67,7.67,84.0,2,3
93,250,7.67,7.92,7.58,7.75,7.67,7.58,7.75,83.92,0,2
94,1,7.83,7.83,7.58,7.67,7.67,7.58,7.75,83.92,0,0
95,35,7.58,7.83,7.58,7.75,7.67,7.75,7.75,83.92,1,2
96,1,7.75,7.67,7.58,7.75,7.75,7.67,7.75,83.92,0,3
97,375,7.67,7.75,7.67,7.75,7.67,7.67,7.67,83.83,1,1
98,600,7.58,7.83,7.67,7.67,7.67,7.67,7.75,83.83,0,4
99,635,7.58,7.92,7.5,7.67,7.75,7.67,7.75,83.83,1,4
100,100,7.83,7.67,7.5,7.92,7.5,7.67,7.75,83.83,0,12
101,285,7.92,7.75,7.42,7.58,7.92,7.67,7.58,83.83,5,5
102,4,7.67,7.92,7.58,7.58,7.58,7.75,7.75,83.83,3,3
103,40,7.67,7.92,7.67,7.58,7.67,7.67,7.58,83.75,0,1
104,600,7.67,7.67,7.58,7.67,7.83,7.58,7.75,83.75,0,12
105,1,7.83,7.75,7.5,7.58,7.67,7.67,7.67,83.67,0,9
106,50,7.67,7.67,7.75,7.75,7.5,7.67,7.67,83.67,0,0
107,100,7.83,7.83,7.67,7.58,7.58,7.58,7.58,83.67,1,1
108,1,7.58,7.75,7.67,7.83,7.5,7.67,7.67,83.67,0,0
109,9,7.67,7.67,7.58,7.75,7.67,7.67,7.67,83.67,2,1
110,1,7.58,7.67,7.5,7.75,7.75,7.67,7.67,83.58,0,0
111,1,7.58,7.75,7.58,7.75,7.58,7.67,7.67,83.58,0,0
112,275,7.58,7.83,7.58,7.67,7.58,7.58,7.75,83.58,2,4
113,260,7.75,7.67,7.58,7.58,7.58,7.67,7.67,83.5,1,5
114,600,7.75,7.75,7.5,7.58,7.83,7.5,7.58,83.5,0,2
115,2,7.42,7.83,7.58,7.67,7.67,7.75,7.58,83.5,0,0
116,320,7.42,7.42,7.42,8.0,7.92,7.67,7.67,83.5,1,11
117,5,7.67,7.67,7.5,7.67,7.58,7.67,7.67,83.42,2,0
118,150,7.75,7.75,7.5,7.5,7.58,7.58,7.75,83.42,0,3
119,1,7.75,7.92,7.67,7.92,7.75,7.83,7.92,83.42,0,0
120,320,7.75,7.67,7.58,7.5,7.67,7.5,7.67,83.33,0,5
121,1,7.58,7.67,7.5,7.75,7.5,7.58,7.75,83.33,0,0
122,320,7.5,7.75,7.58,7.75,7.67,7.58,7.5,83.33,0,0
123,1,7.58,7.67,7.58,7.75,7.42,7.58,7.75,83.33,0,1
124,2,7.67,7.67,7.42,7.75,7.5,7.75,7.58,83.33,0,0
125,320,7.58,7.75,7.42,7.67,7.5,7.75,7.67,83.33,0,3
126,1,7.75,7.83,7.58,7.58,7.58,7.5,7.5,83.33,0,1
127,2,7.92,7.92,7.75,7.33,7.58,7.5,7.33,83.33,0,16
128,320,7.92,7.67,7.42,7.5,7.67,7.58,7.5,83.25,0,8
129,960,7.58,7.5,7.5,7.83,7.67,7.5,7.67,83.25,0,4
130,1,7.75,7.75,7.58,7.67,7.42,7.5,7.58,83.25,0,1
131,2,7.67,7.67,7.58,7.67,7.58,7.58,7.5,83.25,0,2
132,9,7.67,7.75,7.67,7.58,7.5,7.58,7.5,83.25,0,3
133,260,7.75,7.58,7.58,7.58,7.5,7.58,7.67,83.25,1,5
134,1,7.75,7.75,7.5,7.75,7.5,7.42,7.5,83.17,0,2
135,1,7.67,7.67,7.5,7.58,7.58,7.5,7.67,83.17,0,0
136,26,7.67,7.75,7.33,7.67,7.58,7.5,7.58,83.08,0,7
137,250,7.67,7.67,7.5,7.58,7.58,7.5,7.58,83.08,2,7
138,325,7.75,7.58,7.58,7.58,7.58,7.5,7.5,83.08,0,2
139,600,8.0,7.67,7.42,7.58,7.58,7.42,7.33,83.0,0,1
140,1,7.5,7.67,7.58,7.58,7.5,7.5,7.58,82.92,0,0
141,141,7.75,7.5,7.42,7.67,7.58,7.5,7.5,82.92,0,1
142,1,7.58,7.5,7.5,7.67,7.58,7.5,7.58,82.92,1,3
143,300,7.67,7.5,7.42,7.75,7.42,7.58,7.58,82.92,0,0
144,275,7.67,7.58,7.5,7.5,7.58,7.5,7.5,82.83,0,4
145,2,7.17,7.92,7.58,7.5,7.58,7.67,7.42,82.83,0,5
146,22,7.58,7.42,7.58,7.5,7.67,7.75,7.33,82.83,0,4
147,275,7.33,7.58,7.25,7.33,7.75,8.17,7.33,82.75,2,1
148,10,7.33,7.5,7.25,7.92,7.75,7.58,7.42,82.75,0,1
149,250,7.58,7.67,7.58,7.5,7.33,7.5,7.5,82.67,1,2
150,2,7.33,7.58,7.58,7.5,7.67,7.67,7.33,82.67,0,0
151,6,7.5,7.58,7.5,7.42,7.5,7.58,7.58,82.67,0,0
152,325,7.67,7.58,7.33,7.5,7.58,7.5,7.5,82.67,0,2
153,1,7.67,7.67,7.42,7.42,7.42,7.5,7.5,82.58,0,0
154,1,7.67,7.58,7.42,7.42,7.5,7.5,7.5,82.58,0,2
155,120,7.5,7.58,7.42,7.58,7.5,7.58,7.42,82.58,0,0
156,600,7.67,7.33,7.17,7.67,7.83,7.5,7.33,82.5,0,2
157,200,7.75,7.67,7.17,7.67,7.42,7.42,7.42,82.5,0,0
158,620,7.5,7.58,7.5,7.5,7.67,7.42,7.33,82.5,1,1
159,4,7.33,7.58,7.5,7.5,7.5,7.58,7.5,82.5,0,1
160,10,7.67,7.42,7.5,7.5,7.67,7.42,7.33,82.5,0,0
161,345,7.58,7.58,7.33,7.5,7.58,7.42,7.5,82.5,0,8
162,1,7.42,7.42,7.58,7.42,7.58,7.5,7.58,82.5,0,2
163,275,7.58,7.58,7.42,7.42,7.5,7.5,7.42,82.42,0,0
164,77,7.5,7.5,7.33,7.5,7.5,7.42,7.58,82.33,0,0
165,600,7.5,7.5,7.42,7.42,7.42,7.67,7.42,82.33,7,10
166,275,7.33,7.67,7.25,7.67,7.83,7.42,7.17,82.33,0,0
167,1,7.67,7.58,7.42,7.5,7.33,7.42,7.42,82.33,0,1
168,275,7.67,7.5,7.33,7.58,7.33,7.42,7.42,82.25,1,3
169,3,7.75,7.42,7.33,7.5,7.33,7.5,7.33,82.17,0,5
170,13,7.5,7.5,7.42,7.5,7.25,7.5,7.5,82.17,0,2
171,125,7.67,7.5,7.25,7.5,7.5,7.33,7.42,82.17,0,8
172,1,7.5,7.67,7.33,7.5,7.25,7.33,7.5,82.08,0,0
173,1,7.33,7.42,7.42,7.5,7.42,7.5,7.5,82.08,0,3
174,1,7.5,7.58,7.42,7.42,7.25,7.42,7.42,82.0,0,1
175,2,7.17,7.5,7.42,7.42,7.58,7.5,7.42,82.0,0,0
176,500,7.42,7.42,7.42,7.33,7.58,7.33,7.5,82.0,2,8
177,275,7.42,7.42,7.42,7.33,7.5,7.42,7.5,82.0,1,2
178,320,7.67,7.33,7.25,7.67,7.42,7.25,7.42,82.0,0,0
179,275,7.5,7.5,7.33,7.5,7.33,7.33,7.42,81.92,2,2
180,540,7.33,7.42,7.33,7.42,7.58,7.42,7.42,81.92,0,1
181,1,7.25,7.42,7.42,7.5,7.42,7.42,7.42,81.83,0,0
182,1,7.5,7.5,7.25,7.42,7.42,7.42,7.33,81.83,0,4
183,14,7.5,7.5,7.42,7.33,7.33,7.33,7.42,81.83,0,2
184,325,7.42,7.5,7.58,7.33,7.33,7.25,7.33,81.75,0,0
185,275,7.33,7.5,7.33,7.42,7.42,7.42,7.33,81.75,0,0
186,32,7.58,7.42,7.25,7.25,7.5,7.33,7.33,81.67,0,2
187,100,7.33,7.42,7.25,7.42,7.42,7.33,7.42,81.58,2,4
188,1,7.42,7.5,7.33,7.33,7.33,7.33,7.33,81.58,0,0
189,1,7.33,7.5,7.42,7.33,7.33,7.25,7.33,81.5,0,0
190,2,7.33,7.42,7.25,7.33,7.5,7.42,7.17,81.42,0,1
191,5,7.42,7.25,7.33,7.42,7.33,7.33,7.25,81.33,0,5
192,2,7.25,7.25,7.42,7.25,7.42,7.42,7.17,81.17,0,0
193,1,7.42,7.25,7.25,7.42,7.17,7.33,7.33,81.17,2,2
194,440,7.42,7.42,7.25,7.25,7.17,7.25,7.25,81.0,2,1
195,1,7.42,7.33,7.33,7.5,7.08,7.0,7.17,80.83,8,7
196,275,7.25,7.25,7.17,7.33,7.08,7.25,7.17,80.5,1,3
197,275,7.42,7.17,7.0,7.08,7.42,7.17,7.17,80.42,0,5
198,3,7.25,7.25,7.17,7.33,7.0,7.17,7.25,80.42,3,3
199,275,7.5,7.25,7.17,7.17,7.17,7.08,7.0,80.33,6,11
200,1,7.08,7.25,7.08,7.42,7.42,7.08,7.0,80.33,10,7
201,440,7.25,7.17,7.17,7.08,7.17,7.17,7.17,80.17,1,2
202,2240,7.17,7.17,6.92,7.17,7.42,7.17,7.08,80.08,0,4
203,300,7.33,7.08,6.75,7.17,7.42,7.17,7.08,80.0,2,12
204,343,7.25,7.17,7.08,7.0,7.08,7.08,7.0,79.67,9,11
205,1,6.5,6.75,6.75,7.17,7.08,7.0,6.83,78.08,12,13
206,600,7.25,7.08,6.67,6.83,6.83,6.67,6.67,78.0,0,1
